"RACE","NAME","TIME"
"3","Jack Hillenbrand","36:22"
"3","Dan Young","36:44"
"3","Steve Esposito","37:06"
"3","Jordan Varano","37:07"
"3","Christopher Cowden","40:04"
"3","Aaron Perry","40:08"
"3","Steven Cammisa","40:33"
"3","Lee Anderson","41:39"
"3","Scott Hornung","42:04"
"3","Jim Devona","42:29"
"3","Tim Oneill","43:10"
"3","Emily Piza-Taylor","43:11"
"3","Courtney Varano","43:17"
"3","Mike Browngardt","43:34"
"3","Bret Jaspers","43:38"
"3","Casondra Hamilton","43:59"
"3","Fred Mahugu","44:39"
"3","Wade Varano","45:17"
"3","Tom Feheley","45:36"
"3","Jason Palmer","45:50"
"3","Michael Thompson","46:48"
"3","Paul Campbell","46:53"
"3","William Ferrante","47:08"
"3","Jeffrey Horowitz","47:26"
"3","Irene Cobb","47:34"
"3","Clay Himmelberger","47:37"
"3","Willian David","47:51"
"3","Logan Robinson","47:53"
"3","Catherine Farrell","48:18"
"3","Steven Button","48:21"
"3","Michael Vandee","48:44"
"3","William McGovern","49:00"
"3","Jim Mitchell","49:32"
"3","Paul McMahon","49:34"
"3","Graham Upton","49:52"
"3","Vanessa Fitts","49:53"
"3","Kevin Tripp","50:02"
"3","Mathew Schneider","50:23"
"3","Tilghman Smith","50:27"
"3","Scott Towery","50:27"
"3","Steve Seepersaud","50:41"
"3","Dennis Uhlig","50:42"
"3","Peter Baurle","51:34"
"3","Nicholas Gillotte","51:34"
"3","Ryan Magill","51:45"
"3","Todd Copalek","51:46"
"3","Joshua Auerbach","51:46"
"3","Kathryn Hores","51:49"
"3","Rachel Parsons","51:56"
"3","Roger Savage","52:37"
"3","David Losee","52:41"
"3","Patrick Joyce","53:09"
"3","Alan Hess","53:51"
"3","Daniel Young","54:04"
"3","Kellie Tompkins","54:14"
"3","Scott Schafer","54:33"
"3","Christine Cumming","54:58"
"3","Samantha Riley","55:03"
"3","Dennis Gilyard","55:09"
"3","Dale Fox","55:29"
"3","Steven Ferrante","55:35"
"3","Linda Harding","55:39"
"3","Joseph Reynolds","55:50"
"3","Nathan Tweedie","56:06"
"3","Erin Frye","56:26"
"3","Teal Yajko","56:28"
"3","Dan Dupree","56:50"
"3","Thad Demulder","57:06"
"3","Randy Templeman","57:21"
"3","Bridget Bevacqua","57:21"
"3","Grant Briggs","57:22"
"3","Bob Beavan","57:31"
"3","Kathy Purtell","57:49"
"3","Anne Seepersaud","57:59"
"3","Jay Fiedorowitz","58:00"
"3","Joel Peters","58:16"
"3","Abbey Hanselman","58:48"
"3","David Klotzkin","58:54"
"3","Dan Bartschi","59:04"
"3","Vincent Colombo","59:49"
"3","Tina Abbate","59:56"
"3","Richard Walburger","1:00:04"
"3","Glenn Whittington","1:00:23"
"3","Ed Desantis","1:00:23"
"3","Kevin Pasterchik","1:00:26"
"3","Jessica Clement","1:01:33"
"3","Dawn Devita","1:01:52"
"3","Carolyn Hamlin","1:01:52"
"3","Kelley Hamlin","1:03:28"
"3","Michele Stokstad","1:03:29"
"3","Harland Bigelow","1:03:39"
"3","Kristin Ingraham","1:05:09"
"3","Julie Drozdowski","1:05:26"
"3","Roseanna Stasik","1:06:08"
"3","Jessica Himmelberger","1:07:06"
"3","Addie Deacon","1:07:47"
"3","Lisa Chiarella","1:07:53"
"3","Linda Emerson","1:08:54"
"3","Susan High","1:10:28"
"3","Deborah Kessler","1:12:06"
"3","Caroline Quidort","1:13:05"
"3","Anatasia Cochardo","1:15:07"
"3","Robert Gordon","1:19:03"
"3","Yvonne Newell","1:20:23"
"3","William Ondreko","1:20:24"
"3","Joel Drake","1:20:28"
"3","Aaron Sabatini","1:20:28"
"3","Stephen Spero","1:25:00"
"3","John Thompson","1:34:19"
