"RACE","NAME","TIME"
"1","Samuel Williams","33:29"
"1","Jack Hillenbrand","34:31"
"1","Dan Schaffer","35:12"
"1","Stephen Marcin","35:22"
"1","Steve Esposito","35:30"
"1","Jordan Varano","35:33"
"2","Jack Hillenbrand","35:02"
"2","Nick Montesano","35:38"
"2","Steve Esposito","36:25"
"2","Michael Murphy","39:30"
"2","Aaron Perry","39:39"
"2","Steven Cammisa","39:50"
"3","Jack Hillenbrand","36:22"
"3","Dan Young","36:44"
"3","Steve Esposito","37:06"
"3","Jordan Varano","37:07"
"3","Christopher Cowden","40:04"
"3","Aaron Perry","40:08"
"4","Jack Hillenbrand","33:38"
"4","Steve Esposito","35:22"
"4","Tom Eickelbrg","35:30"
"4","Stephen Marcin","36:08"
"4","Michael Murphy","39:11"
"4","Aaron Perry","39:16"
