"RACE","NAME","TIME"
"2","Jack Hillenbrand","35:02"
"2","Nick Montesano","35:38"
"2","Steve Esposito","36:25"
"2","Michael Murphy","39:30"
"2","Aaron Perry","39:39"
"2","Steven Cammisa","39:50"
"2","Eric J. Maki","40:40"
"2","Harry Back","40:53"
"2","Scott Hornung","41:01"
"2","Thomas Mullins","41:06"
"2","Jim Devona","42:46"
"2","Emily Piza-Taylor","43:05"
"2","Todd Votapka","43:06"
"2","Tim Oneill","43:13"
"2","Doug Stoner","43:49"
"2","Casondra Hamilton","44:20"
"2","Michael Lake","45:37"
"2","Tom Feheley","45:41"
"2","Irene Cobb","46:02"
"2","Ron Huslander","46:27"
"2","Bret Jaspers","46:39"
"2","Jason Palmer","46:42"
"2","Michael Thompson","47:14"
"2","Steven Button","47:29"
"2","Robert Seltzer","47:42"
"2","William McGovern","48:13"
"2","Mathew Schneider","48:27"
"2","Vanessa Fitts","48:48"
"2","Emily Kowalczyk","48:48"
"2","Mark Hendley","49:23"
"2","Ed White","49:51"
"2","Michael Stone","49:54"
"2","Rachel Johnston","49:58"
"2","Everett Vail","49:59"
"2","Keith Heron","50:55"
"2","Rachel Parsons","51:01"
"2","Dennis Gilyard","51:06"
"2","Nancy Werthmuller","51:15"
"2","Joseph Brienze","51:16"
"2","Roger Savage","51:19"
"2","Kathryn Hores","51:52"
"2","Graham Upton","51:55"
"2","Tilghman Smith","52:18"
"2","Teri Olcott","52:23"
"2","Charles Leonard","52:29"
"2","Scott Towery","52:32"
"2","Joshua Auerbach","52:34"
"2","Francis Garcia","52:46"
"2","Kevin Tripp","52:48"
"2","Jonathan Barton","52:54"
"2","Daniel Young","53:05"
"2","Dennis Uhlig","53:11"
"2","Dale Fox","53:12"
"2","Alan Hess","53:13"
"2","Michael Ramsden","53:14"
"2","Robert Gleason III","53:16"
"2","Kristin White","53:21"
"2","David Losee","53:27"
"2","Eben Bullock","53:30"
"2","Kerri Bullock","53:31"
"2","Patrick Joyce","54:03"
"2","Sue Hartmann","54:09"
"2","Joseph Reynolds","54:13"
"2","Steve Paufve","54:19"
"2","Teresa Staiger","54:21"
"2","Thad Demulder","54:54"
"2","Randy Templeman","55:05"
"2","Samantha Riley","55:07"
"2","Grant Briggs","55:47"
"2","Kellie Tompkins","56:04"
"2","Teal Yajko","56:07"
"2","Dustin Andrus","56:10"
"2","Michael Andersen","56:15"
"2","Megan White","56:26"
"2","Diana Bean","56:29"
"2","Bob Beavan","56:31"
"2","Alan Berk","56:33"
"2","Joshua Demarree","56:38"
"2","Robert Hartmann","56:46"
"2","Erin Kelly","56:47"
"2","Dawn Devita","56:55"
"2","Kathy Purtell","57:04"
"2","Jessica Hamby","57:18"
"2","Mark Fish","57:59"
"2","Harland Bigelow","58:59"
"2","Kelly Rombold","59:33"
"2","Rachel Stahl","59:53"
"2","Vincent Colombo","1:00:02"
"2","Jessica Clement","1:01:54"
"2","Julie Drozdowski","1:01:59"
"2","Amy Mercik","1:02:01"
"2","Kevin Pasterchik","1:02:35"
"2","Carolyn Hamlin","1:02:47"
"2","Kelley Hamlin","1:02:48"
"2","Michele Stokstad","1:02:55"
"2","Carolyn Hall","1:03:52"
"2","Alyssa Leonard","1:04:18"
"2","Kristin Ingraham","1:04:19"
"2","Sarah Dobler","1:04:52"
"2","Richard Walburger","1:05:41"
"2","Roseanna Stasik","1:05:44"
"2","Linda Emerson","1:07:07"
"2","Anthony Mazza","1:07:34"
"2","Deborah Kessler","1:09:31"
"2","Lisa Chiarella","1:09:32"
"2","Jessica Himmelberger","1:09:57"
"2","Rebecca Dupree","1:10:05"
"2","Dan Dupree","1:10:06"
"2","Tonie Liddie","1:10:47"
"2","Marcus Kantz","1:12:37"
"2","Sharon Dodd","1:14:11"
"2","Robert Gordon","1:14:38"
"2","Anatasia Cochardo","1:17:44"
"2","Diane Stahl","1:19:44"
"2","Jen Tompkins","1:20:33"
"2","William Ondreko","1:21:51"
"2","Yvonne Newell","1:21:52"
"2","Stephen Spero","1:29:12"
"2","John Thompson","1:42:15"
