"RACE","NAME","TIME"
"1","Samuel Williams","33:29"
"1","Jack Hillenbrand","34:31"
"1","Dan Schaffer","35:12"
"1","Stephen Marcin","35:22"
"1","Steve Esposito","35:30"
"1","Jordan Varano","35:33"
"1","Shaun Horan","37:09"
"1","Christopher Cowden","37:43"
"1","Steven Cammisa","37:48"
"1","Michael Murphy","37:56"
"1","Adrian Milisavljevich","37:58"
"1","Eric Symons","38:18"
"1","Scott Hornung","40:26"
"1","Harry Back","40:36"
"1","Jamie Hoyt","40:58"
"1","Corey Dubois","41:13"
"1","Doug Stoner","41:22"
"1","Eric J. Maki","42:00"
"1","Mike Browngardt","42:33"
"1","Ted Larison","42:44"
"1","Jim DeVona","43:11"
"1","Tim O'Neill","43:15"
"1","Emily Piza-Taylor","43:18"
"1","Fred Malloy","43:27"
"1","Todd Votapka","43:52"
"1","Dustin Andrus","43:58"
"1","Nate Mulcahy","44:02"
"1","Chuck Hein","44:12"
"1","Jessica Koltz","44:20"
"1","Tom Feheley","44:42"
"1","Ron Huslander","44:53"
"1","Jonathan Halmann","44:54"
"1","Greg Amend","44:58"
"1","Michael Green Jr.","45:12"
"1","William Ferrante","45:52"
"1","Michael Thompson","46:35"
"1","Kevin Tripp","46:42"
"1","Derek Schreiber","47:00"
"1","Jason Palmer","47:01"
"1","Vanessa Fitts","47:36"
"1","Robert Seltzer","47:54"
"1","Brandon Rosettie","47:58"
"1","Jason Luke","48:00"
"1","Logan Robinson","48:02"
"1","Allison Hall","48:03"
"1","Peter Baurle","48:07"
"1","Amy Williams","48:13"
"1","Jim Mitchell","48:48"
"1","Rachel Johnston","49:01"
"1","Paul Campbell","49:10"
"1","Ed White","49:27"
"1","Steve Seepersaud","49:33"
"1","Ryan Magill","49:38"
"1","Keith Heron","49:49"
"1","Charles Wellman","49:57"
"1","Teri Olcott","49:59"
"1","Dave Talcott","50:03"
"1","Victoria Harris","50:16"
"1","Solvejg Wastvedt","50:17"
"1","Dennis Gilyard","50:27"
"1","Dale Fox","50:44"
"1","Dennis Uhlig","50:44"
"1","Michael Vandee","50:56"
"1","Roger Savage","50:59"
"1","Nancy Werthmuller","51:07"
"1","Linda Reynolds","51:09"
"1","Michael Stone","51:20"
"1","Charles Leonard","51:26"
"1","Todd Copalek","51:31"
"1","Kathryn Hores","51:43"
"1","Nicholas Gillotte","51:48"
"1","Bridget Bevacqua","52:01"
"1","David Losee","52:05"
"1","Steven Ferrante","52:39"
"1","Catie Burnett","52:41"
"1","Anne Seepersaud","52:47"
"1","Jonathan Barton","52:58"
"1","Jonathan Lederman","53:04"
"1","Tilghman Smith","53:06"
"1","Kristin White","53:08"
"1","Christine Cumming","53:14"
"1","Clay Himmelberger","53:16"
"1","Brian Whitney","53:27"
"1","Linda Harding","53:55"
"1","Erin Taylor-Talcott","54:04"
"1","Teresa Staiger","54:12"
"1","Alan Hess","54:28"
"1","Jennifer Fancher","54:40"
"1","Rachel Parsons","54:45"
"1","Michael Ramsden","54:47"
"1","Kerri Bullock","54:54"
"1","Eben Bullock","54:55"
"1","Michael Andersen","55:05"
"1","Scott Schafer","55:09"
"1","Kellie Tompkins","55:10"
"1","William McGovern","55:21"
"1","Sue Hartmann","55:28"
"1","Steve Paufve","55:29"
"1","Larry Brooks","55:58"
"1","David Klotzkin","56:05"
"1","Randy Templeman","56:09"
"1","George Joseph","56:23"
"1","Jessica Hamby","56:33"
"1","Robert Hartmann","56:42"
"1","Kevin Pasterchik","56:54"
"1","Nathan Tweedie","56:54"
"1","Alan Berk","57:02"
"1","Chuck Schaffer","57:19"
"1","Daniel Young","57:23"
"1","Vincent Colombo","57:25"
"1","Dawn DeVita","57:54"
"1","Harland Bigelow","58:01"
"1","Susan Schultz","58:05"
"1","Diana Bean","58:06"
"1","Teal Yajko","58:17"
"1","Justin Bensley","58:22"
"1","Samantha Riley","58:23"
"1","Mark Fish","58:31"
"1","Alex Tompkins","58:46"
"1","Zizwe Grandison","58:51"
"1","Abbey Hanselman","58:56"
"1","Ray Brooks","59:12"
"1","Dan Bartschi","59:18"
"1","Megan White","59:21"
"1","Kris Marks","59:24"
"1","Alyssa Leonard","59:35"
"1","Karen Gardoski","59:45"
"1","Amy Dodd","1:00:01"
"1","Julie Drozdowski","1:00:11"
"1","Sara Tarricone","1:00:13"
"1","Frank Tarricone","1:00:15"
"1","Jay Fiedorowitz","1:00:17"
"1","Kelly Hoyt","1:01:03"
"1","Kelly Williams","1:01:06"
"1","Carolyn Hall","1:01:14"
"1","Ed DeSantis","1:01:16"
"1","Glenn Whittington","1:01:17"
"1","Tina Abbate","1:01:49"
"1","Paul Darskey","1:01:50"
"1","Meghan Mitrus","1:02:20"
"1","Amy Mercik","1:02:29"
"1","Robin Vargis","1:02:35"
"1","Laura Decosse","1:02:38"
"1","Michele Stokstad","1:02:53"
"1","Roseanna Stasik","1:02:55"
"1","Julie Leonard","1:03:00"
"1","Carolyn Hamlin","1:03:10"
"1","Kelley Hamlin","1:03:11"
"1","Bob Beavan","1:03:12"
"1","Rachel Stahl","1:03:22"
"1","Richard Walburger","1:04:11"
"1","Jessica Himmelberger","1:04:24"
"1","Kristin Ingraham","1:04:49"
"1","Sarah Dobler","1:05:07"
"1","Anthony Mazza","1:05:20"
"1","Addie Deacon","1:05:26"
"1","Kathryn White","1:05:46"
"1","Linda Emerson","1:08:01"
"1","Rebecca Dupree","1:08:10"
"1","Dan Dupree","1:08:11"
"1","Kimberly Frechen","1:09:53"
"1","Robert Gordon","1:09:53"
"1","Tara Feathers","1:09:54"
"1","Caroline Quidort","1:10:56"
"1","Tonie Liddie","1:12:00"
"1","Sharon Dodd","1:12:12"
"1","Kathleen LaBarre","1:14:05"
"1","Deborah Kessler","1:14:33"
"1","Tammy Bonnice","1:14:42"
"1","Sarah Kuss","1:15:37"
"1","Joseph Brienze","1:15:40"
"1","Anthony Lotempio","1:19:03"
"1","Melissa Carswell","1:19:28"
"1","Jen Tompkins","1:21:47"
"1","William Ondreko","1:24:15"
"1","Yvonne Newell","1:24:15"
"1","Stephen Spero","1:25:26"
"1","Helen DeVita","1:25:47"
"1","Karren Bee-Donohoe","1:35:16"
"1","John Thompson","1:53:40"
"2","Jack Hillenbrand","35:02"
"2","Nick Montesano","35:38"
"2","Steve Esposito","36:25"
"2","Michael Murphy","39:30"
"2","Aaron Perry","39:39"
"2","Steven Cammisa","39:50"
"2","Eric J. Maki","40:40"
"2","Harry Back","40:53"
"2","Scott Hornung","41:01"
"2","Thomas Mullins","41:06"
"2","Jim DeVona","42:46"
"2","Emily Piza-Taylor","43:05"
"2","Todd Votapka","43:06"
"2","Tim O'Neill","43:13"
"2","Doug Stoner","43:49"
"2","Casondra Hamilton","44:20"
"2","Michael Lake","45:37"
"2","Tom Feheley","45:41"
"2","Irene Cobb","46:02"
"2","Ron Huslander","46:27"
"2","Bret Jaspers","46:39"
"2","Jason Palmer","46:42"
"2","Michael Thompson","47:14"
"2","Steven Button","47:29"
"2","Robert Seltzer","47:42"
"2","William McGovern","48:13"
"2","Mathew Schneider","48:27"
"2","Vanessa Fitts","48:48"
"2","Emily Kowalczyk","48:48"
"2","Mark Hendley","49:23"
"2","Ed White","49:51"
"2","Michael Stone","49:54"
"2","Rachel Johnston","49:58"
"2","Everett Vail","49:59"
"2","Keith Heron","50:55"
"2","Rachel Parsons","51:01"
"2","Dennis Gilyard","51:06"
"2","Nancy Werthmuller","51:15"
"2","Joseph Brienze","51:16"
"2","Roger Savage","51:19"
"2","Kathryn Hores","51:52"
"2","Graham Upton","51:55"
"2","Tilghman Smith","52:18"
"2","Teri Olcott","52:23"
"2","Charles Leonard","52:29"
"2","Scott Towery","52:32"
"2","Joshua Auerbach","52:34"
"2","Francis Garcia","52:46"
"2","Kevin Tripp","52:48"
"2","Jonathan Barton","52:54"
"2","Daniel Young","53:05"
"2","Dennis Uhlig","53:11"
"2","Dale Fox","53:12"
"2","Alan Hess","53:13"
"2","Michael Ramsden","53:14"
"2","Robert Gleason III","53:16"
"2","Kristin White","53:21"
"2","David Losee","53:27"
"2","Eben Bullock","53:30"
"2","Kerri Bullock","53:31"
"2","Patrick Joyce","54:03"
"2","Sue Hartmann","54:09"
"2","Joseph Reynolds","54:13"
"2","Steve Paufve","54:19"
